"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,0,NA,NA,NA,NA
2020-03-14,0,NA,NA,NA,NA
2020-03-15,0,NA,NA,NA,NA
2020-03-16,1,NA,NA,NA,NA
2020-03-17,0,NA,NA,NA,NA
2020-03-18,1,NA,NA,NA,NA
2020-03-19,0,NA,NA,NA,NA
2020-03-20,0,NA,NA,NA,NA
2020-03-21,0,NA,NA,NA,NA
2020-03-22,0,NA,NA,NA,NA
2020-03-23,3,NA,NA,NA,NA
2020-03-24,1,NA,NA,NA,NA
2020-03-25,0,NA,NA,NA,NA
2020-03-26,0,NA,NA,NA,NA
2020-03-27,0,NA,NA,NA,NA
2020-03-28,0,NA,NA,NA,NA
2020-03-29,0,NA,NA,NA,NA
2020-03-30,0,NA,NA,NA,NA
2020-03-31,3,NA,NA,NA,NA
2020-04-01,4,NA,NA,NA,NA
2020-04-02,0,NA,NA,NA,NA
2020-04-03,3,NA,NA,NA,NA
2020-04-04,0,NA,NA,NA,NA
2020-04-05,6,NA,NA,NA,NA
2020-04-06,4,NA,NA,NA,NA
2020-04-07,0,NA,NA,NA,NA
2020-04-08,0,NA,NA,NA,NA
2020-04-09,0,NA,NA,NA,NA
2020-04-10,9,NA,NA,NA,NA
2020-04-11,0,NA,NA,NA,NA
2020-04-12,0,NA,NA,NA,NA
2020-04-13,0,NA,NA,NA,NA
2020-04-14,0,NA,NA,NA,NA
2020-04-15,0,NA,NA,NA,NA
2020-04-16,0,NA,NA,NA,NA
2020-04-17,0,NA,NA,NA,NA
2020-04-18,0,NA,NA,NA,NA
2020-04-19,0,NA,NA,NA,NA
2020-04-20,19,NA,NA,NA,NA
2020-04-21,0,NA,NA,NA,NA
2020-04-22,0,NA,NA,NA,NA
2020-04-23,0,NA,NA,NA,NA
2020-04-24,0,NA,NA,NA,NA
2020-04-25,0,NA,NA,NA,NA
2020-04-26,10,NA,NA,NA,NA
2020-04-27,0,NA,NA,NA,NA
2020-04-28,0,NA,NA,NA,NA
2020-04-29,0,NA,NA,NA,NA
2020-04-30,0,8.8,1.32664991614216,6.19981394426828,11.4001860557317
2020-05-01,26,NA,NA,NA,NA
2020-05-02,0,6.94852941176471,1.07218136554542,4.84709255040071,9.0499662731287
2020-05-03,0,2.63377926421405,0.445189950233249,1.7612229954777,3.50633553295039
2020-05-04,6,NA,NA,NA,NA
2020-05-05,0,0.253610426206411,0.0896648260750818,0.0778705964192026,0.429350255993619
2020-05-06,0,NA,NA,NA,NA
2020-05-07,44,0.330174258636503,0.0953130985516349,0.143364018220381,0.516984499052624
2020-05-08,102,NA,NA,NA,NA
2020-05-09,42,NA,NA,NA,NA
2020-05-10,35,NA,NA,NA,NA
2020-05-11,0,NA,NA,NA,NA
2020-05-12,8,NA,NA,NA,NA
2020-05-13,0,NA,NA,NA,NA
2020-05-14,12,NA,NA,NA,NA
2020-05-15,0,NA,NA,NA,NA
2020-05-16,0,NA,NA,NA,NA
2020-05-17,0,NA,NA,NA,NA
2020-05-18,0,NA,NA,NA,NA
2020-05-19,-209,NA,NA,NA,NA
2020-05-20,0,NA,NA,NA,NA
2020-05-21,5,NA,NA,NA,NA
2020-05-22,0,NA,NA,NA,NA
2020-05-23,0,NA,NA,NA,NA
2020-05-24,56,0.690978886756238,0.244297928241034,0.212163745906062,1.16979402760641
2020-05-25,0,1.06566200215285,0.321309183134538,0.435907575307173,1.69541642899853
2020-05-26,17,NA,NA,NA,NA
2020-05-27,2,NA,NA,NA,NA
2020-05-28,0,2.70796460176991,0.65677788726653,1.42070359688521,3.99522560665462
2020-05-29,14,NA,NA,NA,NA
2020-05-30,0,NA,NA,NA,NA
2020-05-31,8,NA,NA,NA,NA
2020-06-01,11,4.7093023255814,0.90630565512325,2.93297588255485,6.48562876860794
2020-06-02,1,NA,NA,NA,NA
2020-06-03,0,NA,NA,NA,NA
2020-06-04,17,NA,NA,NA,NA
2020-06-05,0,10.218878248974,1.12166760892337,8.02045013285904,12.417306365089
2020-06-06,0,2.83464566929134,0.578619624279491,1.70057204495544,3.96871929362724
2020-06-07,0,2.39786856127886,0.437788900314964,1.53981808383014,3.25591903872759
2020-06-08,27,2.41334205362982,0.376900707239344,1.67463024169304,3.15205386556661
2020-06-09,17,2.11815561959654,0.302593659942363,1.52508294415935,2.71122829503373
2020-06-10,0,1.48453608247423,0.234725764466107,1.02448203787703,1.94459012707143
2020-06-11,0,0.777739370895264,0.155547874179053,0.472871139632553,1.08260760215798
2020-06-12,83,1.50853889943074,0.207213753964341,1.10240740455929,1.91467039430219
2020-06-13,24,NA,NA,NA,NA
2020-06-14,30,2.92455495902797,0.272716156125664,2.39004111501947,3.45906880303648
2020-06-15,41,1.11340206185567,0.17180166799903,0.776676980093663,1.45012714361768
2020-06-16,49,1.08891389983118,0.166057812939555,0.763446567118159,1.41438123254419
