"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,6,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,1,NA,NA,NA,NA
2020-03-04,3,NA,NA,NA,NA
2020-03-05,3,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,1,NA,NA,NA,NA
2020-03-09,1,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,2,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,0,19.2121982210928,1.48225327282518,16.3070351903888,22.1173612517967
2020-03-14,11,8.02952503209243,0.681055424280901,6.69468092902622,9.36436913515864
2020-03-15,0,8.31266318537859,0.494136535807267,7.34417337175096,9.28115299900622
2020-03-16,9,3.47057642096807,0.250467278861135,2.97966957509449,3.96148326684164
2020-03-17,21,1.16448885472713,0.115870971803853,0.937385923137924,1.39159178631634
2020-03-18,53,0.773079101378139,0.0810407099561309,0.614242228582565,0.931915974173712
2020-03-19,88,1.59709898927552,0.105309588760842,1.39069598807754,1.80350199047349
2020-03-20,168,1.2463935372187,0.089950705528678,1.07009339399852,1.42269368043887
2020-03-21,139,1.4086634173131,0.0932910138222513,1.22581639014026,1.59151044448595
2020-03-22,283,0.608474462815449,0.0605454719794417,0.489807518308765,0.727141407322134
2020-03-23,192,0.219526285384171,0.0356118659905776,0.149728310620372,0.28932426014797
2020-03-24,101,1.61055680720953,0.0965947782457661,1.42123452075319,1.79987909366586
2020-03-25,91,3.0577849117175,0.135667267290345,2.79188195394745,3.32368786948754
2020-03-26,230,2.60351317440402,0.127801435304036,2.35302696403558,2.85399938477245
2020-03-27,192,1.14967597208375,0.080296852922163,0.9922970322844,1.3070549118831
2020-03-28,228,0.447073283146413,0.0453934143576407,0.358103825870134,0.536042740422692
2020-03-29,101,0.719491188551742,0.0534793588726926,0.614673571244972,0.824308805858512
2020-03-30,38,0.38098830629951,0.0379097533803127,0.306686555011301,0.455290057587718
2020-03-31,278,NA,NA,NA,NA
2020-04-01,508,2.85012838416145,0.107494627913028,2.63944278492038,3.06081398340252
2020-04-02,415,2.36612384501506,0.1042638740734,2.16177040694258,2.57047728308754
2020-04-03,205,10.2526326710588,0.21878584971674,9.82382028528697,10.6814450568306
2020-04-04,97,0.414229552210183,0.0422771266373547,0.331367906631129,0.497091197789237
2020-04-05,181,0.557994660338179,0.0385972977315956,0.482345346883682,0.633643973792675
2020-04-06,101,0.126709573612228,0.0159639057385233,0.0954208933121306,0.157998253912326
2020-04-07,0,0.119997837876795,0.0139494653075411,0.0926573882704236,0.147338287483166
2020-04-08,703,0.424253627876883,0.0265677927357504,0.372181710966088,0.476325544787679
2020-04-09,515,0.643546030199708,0.0335928293319069,0.577705294570369,0.709386765829046
2020-04-10,2196,0.473795039775386,0.0315863359850257,0.411886958841154,0.535703120709618
2020-04-11,96,1.4424208461754,0.0603106453840922,1.32421415333821,1.56062753901259
2020-04-12,209,1.39530033370412,0.0660693856846099,1.26580671728159,1.52479395012664
2020-04-13,63,2.34310283618003,0.0912051542014012,2.16434401874086,2.5218616536192
2020-04-14,74,1.02739726027397,0.0625254061078957,0.904849716183756,1.14994480436419
2020-04-15,255,1.35821842342493,0.0638852207369449,1.23300569163612,1.48343115521373
2020-04-16,367,0.88336722964011,0.0484082259905243,0.788488850143206,0.978245609137013
2020-04-17,225,27.405041573182,0.255154270532143,26.9049483924374,27.9051347539266
2020-04-18,572,NA,NA,NA,NA
2020-04-19,446,NA,NA,NA,NA
2020-04-20,660,0.318489940635486,0.0139532976369147,0.291141979801565,0.345837901469406
2020-04-21,270,0.461824615524203,0.0144744872599409,0.433455141800035,0.490194089248371
2020-04-22,452,0.193661245046235,0.00948363197190592,0.175073667938667,0.212248822153803
2020-04-23,333,0.119536009517754,0.00742760622627637,0.104978168822906,0.134093850212601
2020-04-24,11536,0.764583623682823,0.0204197765318809,0.724561597107981,0.804605650257666
2020-04-25,0,0.74796652127785,0.0222703790837145,0.704317380351715,0.791615662203984
2020-04-26,0,1.71004534835784,0.037549421586046,1.63644983440888,1.7836408623068
2020-04-27,521,2.45397416501804,0.0506971845886319,2.35460950910674,2.55333882092934
2020-04-28,1018,NA,NA,NA,NA
2020-04-29,417,NA,NA,NA,NA
2020-04-30,259,NA,NA,NA,NA
2020-05-01,1402,NA,NA,NA,NA
2020-05-02,1128,0.260827729985452,0.0163980988883357,0.228688046749388,0.292967413221517
2020-05-03,2074,0.782274152180108,0.0354118869887024,0.712868129057649,0.851680175302568
2020-05-04,2343,NA,NA,NA,NA
2020-05-05,0,NA,NA,NA,NA
2020-05-06,0,NA,NA,NA,NA
2020-05-07,-1583,NA,NA,NA,NA
2020-05-08,-1480,NA,NA,NA,NA
2020-05-09,253,98.1818181818181,2.72727272727272,92.8364618603452,103.527174503291
2020-05-10,488,2.81543974914141,0.137543232353388,2.54585996741154,3.08501953087127
2020-05-11,-50,1.1287035585515,0.0564351779275749,1.01809264235234,1.23931447475065
2020-05-12,910,1.13972224695095,0.047779642115592,1.04607586921017,1.23336862469172
2020-05-13,67,1.25279686355266,0.0472501286070395,1.16018831321798,1.34540541388734
2020-05-14,16,0.765380997177799,0.0360004938154701,0.69482132587382,0.835940668481777
