"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,0,NA,NA,NA,NA
2020-03-14,0,NA,NA,NA,NA
2020-03-15,1,NA,NA,NA,NA
2020-03-16,0,NA,NA,NA,NA
2020-03-17,0,NA,NA,NA,NA
2020-03-18,3,NA,NA,NA,NA
2020-03-19,2,NA,NA,NA,NA
2020-03-20,0,NA,NA,NA,NA
2020-03-21,0,NA,NA,NA,NA
2020-03-22,0,NA,NA,NA,NA
2020-03-23,3,NA,NA,NA,NA
2020-03-24,0,NA,NA,NA,NA
2020-03-25,0,NA,NA,NA,NA
2020-03-26,3,NA,NA,NA,NA
2020-03-27,0,NA,NA,NA,NA
2020-03-28,0,NA,NA,NA,NA
2020-03-29,0,NA,NA,NA,NA
2020-03-30,0,NA,NA,NA,NA
2020-03-31,0,NA,NA,NA,NA
2020-04-01,3,NA,NA,NA,NA
2020-04-02,0,NA,NA,NA,NA
2020-04-03,1,NA,NA,NA,NA
2020-04-04,0,NA,NA,NA,NA
2020-04-05,0,NA,NA,NA,NA
2020-04-06,0,NA,NA,NA,NA
2020-04-07,0,NA,NA,NA,NA
2020-04-08,2,NA,NA,NA,NA
2020-04-09,0,NA,NA,NA,NA
2020-04-10,0,NA,NA,NA,NA
2020-04-11,0,NA,NA,NA,NA
2020-04-12,3,NA,NA,NA,NA
2020-04-13,0,NA,NA,NA,NA
2020-04-14,20,NA,NA,NA,NA
2020-04-15,10,NA,NA,NA,NA
2020-04-16,0,NA,NA,NA,NA
2020-04-17,28,23.3532934131736,2.0482193265254,19.338857300745,27.3677295256023
2020-04-18,0,NA,NA,NA,NA
2020-04-19,0,NA,NA,NA,NA
2020-04-20,0,NA,NA,NA,NA
2020-04-21,4,2.09131675499389,0.277001671086167,1.54840345600759,2.63423005398018
2020-04-22,1,NA,NA,NA,NA
2020-04-23,0,NA,NA,NA,NA
2020-04-24,130,NA,NA,NA,NA
2020-04-25,44,NA,NA,NA,NA
2020-04-26,0,NA,NA,NA,NA
2020-04-27,0,NA,NA,NA,NA
2020-04-28,57,NA,NA,NA,NA
2020-04-29,0,21.7543859649123,1.95360153081755,17.9253973243676,25.583374605457
2020-04-30,0,NA,NA,NA,NA
2020-05-01,0,NA,NA,NA,NA
2020-05-02,0,NA,NA,NA,NA
2020-05-03,0,NA,NA,NA,NA
2020-05-04,0,NA,NA,NA,NA
2020-05-05,0,NA,NA,NA,NA
2020-05-06,124,5.02016129032258,0.551034289061147,3.9401539295161,6.10016865112906
2020-05-07,0,4.91935483870968,0.629858844831182,3.68485418749656,6.1538554899228
2020-05-08,0,0.854184641932701,0.257546359906804,0.349403052165974,1.35896623169943
2020-05-09,0,NA,NA,NA,NA
2020-05-10,0,NA,NA,NA,NA
2020-05-11,0,4.95594713656388,0.44327338761009,4.08714726154304,5.82474701158472
2020-05-12,0,4.10322580645161,0.398540521586594,3.32210073776208,4.88435087514114
2020-05-13,83,2.16586449463162,0.268642427747823,1.63933501152648,2.69239397773675
2020-05-14,61,0.341705607476636,0.0947720837592754,0.155955736568642,0.527455478384629
2020-05-15,11,1.15566569047083,0.153071660097853,0.855650749625279,1.45568063131637
2020-05-16,0,NA,NA,NA,NA
2020-05-17,0,NA,NA,NA,NA
2020-05-18,125,1.53608883405305,0.16860765414826,1.20562390440468,1.86655376370143
2020-05-19,106,NA,NA,NA,NA
2020-05-20,65,NA,NA,NA,NA
2020-05-21,13,NA,NA,NA,NA
2020-05-22,57,8.59477124183007,0.529976298700224,7.55603678371779,9.63350569994235
2020-05-23,0,NA,NA,NA,NA
2020-05-24,0,NA,NA,NA,NA
2020-05-25,83,NA,NA,NA,NA
2020-05-26,0,NA,NA,NA,NA
2020-05-27,0,NA,NA,NA,NA
2020-05-28,0,NA,NA,NA,NA
2020-05-29,263,NA,NA,NA,NA
2020-05-30,0,NA,NA,NA,NA
2020-05-31,0,NA,NA,NA,NA
2020-06-01,0,NA,NA,NA,NA
2020-06-02,0,NA,NA,NA,NA
2020-06-03,0,NA,NA,NA,NA
2020-06-04,0,NA,NA,NA,NA
2020-06-05,0,NA,NA,NA,NA
2020-06-06,0,NA,NA,NA,NA
2020-06-07,0,NA,NA,NA,NA
2020-06-08,0,NA,NA,NA,NA
2020-06-09,0,NA,NA,NA,NA
2020-06-10,0,NA,NA,NA,NA
2020-06-11,0,NA,NA,NA,NA
2020-06-12,0,NA,NA,NA,NA
2020-06-13,0,NA,NA,NA,NA
2020-06-14,0,NA,NA,NA,NA
2020-06-15,0,NA,NA,NA,NA
2020-06-16,358,NA,NA,NA,NA
2020-06-17,0,NA,NA,NA,NA
2020-06-18,0,14.1201117318436,0.769171497933763,12.6125632979587,15.6276601657285
2020-06-19,0,NA,NA,NA,NA
2020-06-20,0,NA,NA,NA,NA
2020-06-21,0,NA,NA,NA,NA
2020-06-22,0,NA,NA,NA,NA
