"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,0,NA,NA,NA,NA
2020-03-14,0,NA,NA,NA,NA
2020-03-15,0,NA,NA,NA,NA
2020-03-16,0,NA,NA,NA,NA
2020-03-17,0,NA,NA,NA,NA
2020-03-18,0,NA,NA,NA,NA
2020-03-19,0,NA,NA,NA,NA
2020-03-20,0,NA,NA,NA,NA
2020-03-21,1,NA,NA,NA,NA
2020-03-22,0,NA,NA,NA,NA
2020-03-23,0,NA,NA,NA,NA
2020-03-24,0,NA,NA,NA,NA
2020-03-25,3,NA,NA,NA,NA
2020-03-26,2,NA,NA,NA,NA
2020-03-27,0,NA,NA,NA,NA
2020-03-28,0,NA,NA,NA,NA
2020-03-29,6,NA,NA,NA,NA
2020-03-30,0,NA,NA,NA,NA
2020-03-31,3,NA,NA,NA,NA
2020-04-01,0,NA,NA,NA,NA
2020-04-02,7,NA,NA,NA,NA
2020-04-03,0,NA,NA,NA,NA
2020-04-04,7,NA,NA,NA,NA
2020-04-05,0,NA,NA,NA,NA
2020-04-06,2,NA,NA,NA,NA
2020-04-07,0,NA,NA,NA,NA
2020-04-08,2,NA,NA,NA,NA
2020-04-09,0,NA,NA,NA,NA
2020-04-10,1,NA,NA,NA,NA
2020-04-11,0,NA,NA,NA,NA
2020-04-12,0,NA,NA,NA,NA
2020-04-13,0,NA,NA,NA,NA
2020-04-14,0,NA,NA,NA,NA
2020-04-15,1,NA,NA,NA,NA
2020-04-16,0,NA,NA,NA,NA
2020-04-17,0,NA,NA,NA,NA
2020-04-18,4,NA,NA,NA,NA
2020-04-19,0,NA,NA,NA,NA
2020-04-20,0,NA,NA,NA,NA
2020-04-21,0,NA,NA,NA,NA
2020-04-22,0,NA,NA,NA,NA
2020-04-23,0,NA,NA,NA,NA
2020-04-24,0,NA,NA,NA,NA
2020-04-25,0,NA,NA,NA,NA
2020-04-26,0,NA,NA,NA,NA
2020-04-27,0,NA,NA,NA,NA
2020-04-28,0,NA,NA,NA,NA
2020-04-29,0,NA,NA,NA,NA
2020-04-30,0,NA,NA,NA,NA
2020-05-01,0,NA,NA,NA,NA
2020-05-02,0,NA,NA,NA,NA
2020-05-03,0,NA,NA,NA,NA
2020-05-04,0,NA,NA,NA,NA
2020-05-05,0,NA,NA,NA,NA
2020-05-06,0,NA,NA,NA,NA
2020-05-07,0,NA,NA,NA,NA
2020-05-08,0,NA,NA,NA,NA
2020-05-09,0,NA,NA,NA,NA
2020-05-10,0,NA,NA,NA,NA
2020-05-11,0,NA,NA,NA,NA
2020-05-12,0,NA,NA,NA,NA
2020-05-13,0,NA,NA,NA,NA
2020-05-14,0,NA,NA,NA,NA
2020-05-15,0,NA,NA,NA,NA
2020-05-16,0,NA,NA,NA,NA
2020-05-17,0,NA,NA,NA,NA
2020-05-18,0,NA,NA,NA,NA
2020-05-19,0,NA,NA,NA,NA
2020-05-20,0,NA,NA,NA,NA
2020-05-21,0,NA,NA,NA,NA
2020-05-22,0,NA,NA,NA,NA
2020-05-23,0,NA,NA,NA,NA
2020-05-24,0,NA,NA,NA,NA
2020-05-25,0,NA,NA,NA,NA
2020-05-26,0,NA,NA,NA,NA
2020-05-27,0,NA,NA,NA,NA
2020-05-28,0,NA,NA,NA,NA
2020-05-29,0,NA,NA,NA,NA
2020-05-30,0,NA,NA,NA,NA
2020-05-31,0,NA,NA,NA,NA
2020-06-01,0,NA,NA,NA,NA
2020-06-02,0,NA,NA,NA,NA
2020-06-03,0,NA,NA,NA,NA
2020-06-04,0,NA,NA,NA,NA
2020-06-05,0,NA,NA,NA,NA
2020-06-06,0,NA,NA,NA,NA
2020-06-07,0,NA,NA,NA,NA
2020-06-08,0,NA,NA,NA,NA
2020-06-09,0,NA,NA,NA,NA
2020-06-10,2,1.18577075098814,0.374973635593088,0.450835930073643,1.92070557190264
2020-06-11,0,0.95837366892546,0.28896053352564,0.392021430261727,1.52472590758919
2020-06-12,0,NA,NA,NA,NA
2020-06-13,24,NA,NA,NA,NA
2020-06-14,31,NA,NA,NA,NA
2020-06-15,13,NA,NA,NA,NA
2020-06-16,12,NA,NA,NA,NA
2020-06-17,10,NA,NA,NA,NA
2020-06-18,11,NA,NA,NA,NA
2020-06-19,0,NA,NA,NA,NA
2020-06-20,1,NA,NA,NA,NA
2020-06-21,0,NA,NA,NA,NA
2020-06-22,0,NA,NA,NA,NA
2020-06-23,0,1.7910447761194,0.517030091811605,0.77768441724522,2.80440513499359
2020-06-24,1,NA,NA,NA,NA
2020-06-25,0,1.3953488372093,0.402802513388111,0.605870418086392,2.18482725633221
2020-06-26,23,NA,NA,NA,NA
2020-06-27,24,NA,NA,NA,NA
2020-06-28,0,NA,NA,NA,NA
2020-06-29,0,NA,NA,NA,NA
2020-06-30,12,NA,NA,NA,NA
2020-07-01,0,NA,NA,NA,NA
