"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-02,0,NA,NA,NA,NA
2020-01-03,0,NA,NA,NA,NA
2020-01-04,0,NA,NA,NA,NA
2020-01-05,0,NA,NA,NA,NA
2020-01-06,0,NA,NA,NA,NA
2020-01-07,0,NA,NA,NA,NA
2020-01-08,0,NA,NA,NA,NA
2020-01-09,0,NA,NA,NA,NA
2020-01-10,0,NA,NA,NA,NA
2020-01-11,0,NA,NA,NA,NA
2020-01-12,0,NA,NA,NA,NA
2020-01-13,0,NA,NA,NA,NA
2020-01-14,0,NA,NA,NA,NA
2020-01-15,0,NA,NA,NA,NA
2020-01-16,0,NA,NA,NA,NA
2020-01-17,0,NA,NA,NA,NA
2020-01-18,0,NA,NA,NA,NA
2020-01-19,0,NA,NA,NA,NA
2020-01-20,0,NA,NA,NA,NA
2020-01-21,0,NA,NA,NA,NA
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,1,NA,NA,NA,NA
2020-02-29,1,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,2,NA,NA,NA,NA
2020-03-03,1,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,1,NA,NA,NA,NA
2020-03-06,2,NA,NA,NA,NA
2020-03-07,0,4.60554371002132,0.940102673136401,2.76297632890415,6.4481110911385
2020-03-08,1,2.43243243243243,0.530800273547009,1.39208301329629,3.47278185156858
2020-03-09,3,2.37057220708447,0.440204207667671,1.50778781421284,3.23335659995609
2020-03-10,7,2.91139240506329,0.429261391337042,2.07005553808914,3.75272927203745
2020-03-11,19,2.80258519388954,0.384964682746913,2.0480682803857,3.55710210739338
2020-03-12,18,2.64965652600589,0.34206918661302,1.97921324002346,3.32009981198832
2020-03-13,27,2.85830618892508,0.323639445427323,2.22398453191101,3.49262784593915
2020-03-14,24,1.36547538772758,0.203553052570783,0.966518735745656,1.7644320397095
2020-03-15,21,0.851419031719533,0.146017159303305,0.565230658360208,1.13760740507886
2020-03-16,29,2.01589595375723,0.209038672564876,1.60618768415401,2.42560422336044
2020-03-17,46,2.00177935943061,0.200177935943061,1.60943781448264,2.39412090437857
2020-03-18,53,1.60016539177176,0.172550271778915,1.26197307356249,1.93835770998103
2020-03-19,60,1.61646398503274,0.164979664621505,1.29310978419309,1.93981818587239
2020-03-20,78,1.78727701110737,0.164532185157863,1.46479985390029,2.10975416831446
2020-03-21,45,1.12050415001537,0.124500461112819,0.876487730175616,1.36452056985512
2020-03-22,34,0.537798777098388,0.0820135446341273,0.37705518337103,0.698542370825746
2020-03-23,93,0.90685957886578,0.102681627434376,0.705607287220442,1.10811187051112
2020-03-24,100,1.17326920642957,0.115605650026364,0.946686295968551,1.39985211689058
2020-03-25,86,1.15988260814087,0.115412633137793,0.933678003829863,1.38608721245188
2020-03-26,96,1.29236739974127,0.122666085091429,1.05194629083754,1.53278850864499
2020-03-27,118,1.3275029369534,0.124880971563258,1.08274073033504,1.57226514357176
2020-03-28,81,0.785320159117157,0.095234057822556,0.598664835683342,0.971975482550971
2020-03-29,43,0.397741222685981,0.0662902037809968,0.267814810747406,0.527667634624556
2020-03-30,78,0.646087580760948,0.083409548015953,0.482607870682915,0.80956729083898
2020-03-31,103,1.23317837044287,0.116524403227704,1.00479473679655,1.46156200408919
2020-04-01,101,1.04166666666667,0.109801307644735,0.826460058227583,1.25687327510575
2020-04-02,111,1.10282365476825,0.114977314091141,0.877472260110461,1.32817504942603
2020-04-03,113,0.419178082191781,0.0718884480186407,0.278279313170765,0.560076851212796
2020-04-04,68,0.494369678659709,0.0781667095345109,0.341165743182064,0.647573614137354
2020-04-05,36,0.203533568904594,0.0508833922261484,0.103803952730117,0.30326318507907
2020-04-06,60,1.30841121495327,0.13216949181057,1.04936377114959,1.56745865875695
2020-04-07,112,0.268924302788845,0.0633860660426188,0.144689896223634,0.393158709354055
2020-04-08,90,0.663623595505618,0.102399343900405,0.462924569420293,0.864322621590943
2020-04-09,92,0.885075202468184,0.123935317888326,0.642166442994543,1.12798396194182
2020-04-10,34,0.748129675810474,0.118289688036224,0.516286147516997,0.979973204103951
2020-04-11,40,0.527797325826882,0.105559465165376,0.320904575875434,0.734690075778331
2020-04-12,16,0.196984435797665,0.0656614785992218,0.0682903025715432,0.325678569023788
2020-04-13,98,0.654205607476635,0.123633238834794,0.411888912068401,0.89652230288487
2020-04-14,18,0.948945615982242,0.153939306400446,0.647230119632291,1.25066111233219
2020-04-15,42,0.962713936430318,0.162728355892104,0.643772219618377,1.28165565324226
2020-04-16,51,1.24158815612382,0.193903493058195,0.861544293253247,1.6216320189944
2020-04-17,40,1.28571428571429,0.205879054892255,0.882198752954321,1.68922981847425
2020-04-18,25,0.51948051948052,0.12987012987013,0.264939742267526,0.774021296693514
2020-04-19,9,0.189739985945186,0.0774610248947597,0.0379191669458968,0.341560804944476
2020-04-20,28,0.40809208231601,0.113184379069327,0.186254775727601,0.629929388904419
2020-04-21,38,0.719476744186047,0.153392957261667,0.418832072471087,1.02012141590101
2020-04-22,35,0.642347343378271,0.151402720793313,0.345603463462004,0.939091223294538
2020-04-23,41,0.712401055408971,0.167914539068046,0.383294606354958,1.04150750446298
2020-04-24,39,0.586172344689379,0.162574957310501,0.267531283572661,0.904813405806097
2020-04-25,16,0.556492411467116,0.167788775228772,0.227632455008636,0.885352367925596
2020-04-26,6,2.73403595784253,0.390576565406076,1.96851995644127,3.49955195924379
2020-04-27,13,0.974289580514208,0.243572395128552,0.496896458434087,1.45168270259433
2020-04-28,22,2.95176848874598,0.413330262745245,2.14165606004482,3.76188091744714
2020-04-29,18,0.842105263157895,0.210526315789474,0.42948126641262,1.25472925990317
2020-04-30,18,1.48615832928606,0.254874050770314,0.986614369182412,1.98570228938971
2020-05-01,13,0.891089108910891,0.189980836356485,0.518733511899384,1.2634447059224
2020-05-02,11,0.761789600967352,0.166236119526814,0.435972793765101,1.0876064081696
2020-05-03,49,0.71599045346062,0.160100332517885,0.40219956781268,1.02978133910856
2020-05-04,16,0.17455391776571,0.0780628851726071,0.0215534742981142,0.327554361233306
2020-05-05,51,0.582288718156086,0.145572179539021,0.296972489108605,0.867604947203566
2020-05-06,16,0.514511873350924,0.142699918553984,0.234825172388316,0.794198574313531
2020-05-07,34,0.227158001009591,0.101588146378082,0.0280488928523667,0.426267109166816
2020-05-08,22,0.363321799307958,0.137322732408197,0.0941741895292616,0.632469409086655
2020-05-09,21,NA,NA,NA,NA
2020-05-10,20,NA,NA,NA,NA
2020-05-11,5,NA,NA,NA,NA
2020-05-12,16,1.53658536585366,0.410669713182506,0.731687518474554,2.34148321323276
2020-05-13,13,1.32786885245902,0.442622950819672,0.460343810121616,2.19539389479642
2020-05-14,5,4.0748031496063,0.84965519113808,2.40950957569817,5.74009672351443
2020-05-15,7,3.34020618556701,0.787294148125228,1.79713801000242,4.8832743611316
2020-05-16,2,NA,NA,NA,NA
2020-05-17,1,NA,NA,NA,NA
2020-05-18,0,NA,NA,NA,NA
2020-05-19,14,0.67379679144385,0.254671249193383,0.174650315126994,1.17294326776071
2020-05-20,9,NA,NA,NA,NA
2020-05-21,23,0.709592641261498,0.289689982720744,0.14181070844681,1.27737457407619
2020-05-22,18,2.06896551724138,0.552954293611913,0.985195016665245,3.15273601781751
2020-05-23,0,NA,NA,NA,NA
2020-05-24,1,NA,NA,NA,NA
2020-05-25,0,NA,NA,NA,NA
2020-05-26,7,NA,NA,NA,NA
2020-05-27,1,NA,NA,NA,NA
2020-05-28,6,NA,NA,NA,NA
2020-05-29,14,NA,NA,NA,NA
2020-05-30,3,NA,NA,NA,NA
2020-05-31,3,NA,NA,NA,NA
2020-06-01,4,NA,NA,NA,NA
2020-06-02,1,NA,NA,NA,NA
2020-06-03,0,NA,NA,NA,NA
2020-06-04,0,NA,NA,NA,NA
2020-06-05,2,NA,NA,NA,NA
2020-06-06,2,NA,NA,NA,NA
2020-06-07,1,NA,NA,NA,NA
2020-06-08,2,NA,NA,NA,NA
2020-06-09,1,NA,NA,NA,NA
2020-06-10,3,NA,NA,NA,NA
2020-06-11,3,NA,NA,NA,NA
2020-06-12,1,NA,NA,NA,NA
2020-06-13,0,NA,NA,NA,NA
2020-06-14,0,NA,NA,NA,NA
2020-06-15,2,NA,NA,NA,NA
2020-06-16,1,NA,NA,NA,NA
2020-06-17,1,NA,NA,NA,NA
2020-06-18,9,NA,NA,NA,NA
2020-06-19,2,NA,NA,NA,NA
2020-06-20,1,NA,NA,NA,NA
2020-06-21,2,NA,NA,NA,NA
2020-06-22,0,NA,NA,NA,NA
2020-06-23,1,NA,NA,NA,NA
2020-06-24,4,NA,NA,NA,NA
2020-06-25,6,NA,NA,NA,NA
2020-06-26,1,NA,NA,NA,NA
2020-06-27,3,NA,NA,NA,NA
2020-06-28,1,NA,NA,NA,NA
2020-06-29,3,NA,NA,NA,NA
2020-06-30,6,NA,NA,NA,NA
2020-07-01,12,NA,NA,NA,NA
2020-07-02,5,NA,NA,NA,NA
2020-07-03,4,NA,NA,NA,NA
2020-07-04,3,NA,NA,NA,NA
2020-07-05,5,NA,NA,NA,NA
2020-07-06,0,NA,NA,NA,NA
2020-07-07,4,NA,NA,NA,NA
2020-07-08,7,NA,NA,NA,NA
2020-07-09,4,NA,NA,NA,NA
2020-07-10,1,2.5609756097561,0.684449521970843,1.21947919745759,3.90247202205461
2020-07-11,0,NA,NA,NA,NA
2020-07-12,8,1.06060606060606,0.400871410767362,0.274912533070269,1.84629958814185
2020-07-13,10,1.296,0.432,0.449295558678697,2.1427044413213
2020-07-14,8,0.807174887892377,0.329527768087423,0.16131233053516,1.45303744524959
2020-07-15,8,2.29385307346327,0.556341088913927,1.20344457607218,3.38426157085436
2020-07-16,2,1.0762331838565,0.380505891221461,0.330455341157124,1.82201102655588
2020-07-17,14,1.53627311522048,0.443483848310666,0.667060744806355,2.40548548563461
2020-07-18,4,0.84,0.317490157327751,0.217730726191653,1.46226927380835
2020-07-19,7,0.759036144578313,0.286888696380498,0.196744632100891,1.32132765705574
2020-07-20,9,2.41540256709452,0.503646250989667,1.42827405420615,3.40253107998288
2020-07-21,6,2.69896193771626,0.529309984109978,1.66153343220324,3.73639044322929
2020-07-22,17,3.12026002166847,0.551589255096765,2.03916494741954,4.20135509591741
2020-07-23,8,2.20338983050847,0.4321202977621,1.35644960990603,3.05033005111092
2020-07-24,12,1.64759725400458,0.336314381160162,0.988433179447784,2.30676132856137
2020-07-25,7,0.910815939278937,0.227703984819734,0.464524329896003,1.35710754866187
2020-07-26,7,0.342763873775843,0.129552566918288,0.0888455085112839,0.596682239040403
2020-07-27,23,0.766149223835754,0.185818480874106,0.401951693660561,1.13034675401095
2020-07-28,26,1.03139013452915,0.215059709565593,0.609880849254942,1.45289941980335
2020-07-29,32,0.796045785639958,0.193069462177726,0.417636593257097,1.17445497802282
2020-07-30,26,1.83471074380165,0.301624588279251,1.2435374139226,2.42588407368071
2020-07-31,24,0.527240773286467,0.16672817188937,0.200459561175099,0.854021985397835
2020-08-01,16,0.47093023255814,0.156976744186047,0.163261467543131,0.778598997573148
2020-08-02,7,0.417391304347826,0.147570110856323,0.12815920187485,0.706623406820802
2020-08-03,17,1.81556195965418,0.306885982984995,1.21407648564342,2.41704743366494
2020-08-04,23,2.90863890615289,0.403355642997836,2.11807637291614,3.69920143938964
2020-08-05,17,2.09944751381215,0.340575359280054,1.43193207560146,2.76696295202285
2020-08-06,37,1.09938922820655,0.234390571007279,0.639992150716508,1.5587863056966
2020-08-07,10,1.40491958372753,0.244565107941543,0.925580780286955,1.88425838716811
2020-08-08,9,0.716680637049455,0.164417814299522,0.394427642605596,1.03893363149331
2020-08-09,8,NA,NA,NA,NA
2020-08-10,35,0.503543453935099,0.130014360745493,0.248719989400934,0.758366918469264
2020-08-11,52,0.620927558451514,0.146354029068891,0.33407893248416,0.907776184418868
2020-08-12,38,0.837917900973339,0.178644696734705,0.487780729344236,1.18805507260244
2020-08-13,22,1.04196816208394,0.21269086044427,0.625101735772332,1.45883458839554
2020-08-14,33,0.696902654867257,0.186255069031889,0.331849427626733,1.06195588210778
2020-08-15,19,0.770171149144254,0.205836897805412,0.366738242756194,1.17360405553231
2020-08-16,2,0.338770388958595,0.138302432152124,0.0677026029661369,0.609838174951053
2020-08-17,15,1.25237191650854,0.267006589743269,0.72904861697687,1.77569521604021
2020-08-18,18,1.69127516778524,0.319620963752769,1.06482959012583,2.31772074544465
2020-08-19,22,1.34510869565217,0.286778137489204,0.783033874619858,1.90718351668449
2020-08-20,24,1.07355864811133,0.253040200026995,0.577608969417611,1.56950832680505
2020-08-21,14,0.962264150943396,0.233383337299113,0.504841215245372,1.41968708664142
2020-08-22,14,0.272067714631197,0.121672380879674,0.0335942301937959,0.510541199068598
2020-08-23,6,0.476751030017658,0.158917010005886,0.16527941387533,0.788222646159985
2020-08-24,22,0.81374321880651,0.210107595635122,0.401939898483366,1.22554653912965
2020-08-25,28,0.921895006402049,0.230473751600512,0.470174753883214,1.37361525892088
2020-08-26,22,1.63522012578616,0.320693051169358,1.00667329540196,2.26376695617036
2020-08-27,18,1.40729709605361,0.307097403236058,0.805397245965164,2.00919694614206
2020-08-28,17,0.619739862280031,0.206579954093344,0.21485059232914,1.02462913223092
2020-08-29,5,0.532544378698225,0.188282870730146,0.163516733161329,0.901572024235122
2020-08-30,9,NA,NA,NA,NA
2020-08-31,15,1.20677487649965,0.276853143908723,0.664152685431865,1.74939706756743
2020-09-01,16,1.41467065868263,0.308706446516486,0.809617141714982,2.01972417565029
2020-09-02,26,1.61971830985915,0.337734614317797,0.957770629463747,2.28166599025456
