"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,0,NA,NA,NA,NA
2020-03-14,3,NA,NA,NA,NA
2020-03-15,3,NA,NA,NA,NA
2020-03-16,0,NA,NA,NA,NA
2020-03-17,1,NA,NA,NA,NA
2020-03-18,0,NA,NA,NA,NA
2020-03-19,4,NA,NA,NA,NA
2020-03-20,5,0.621546961325967,0.277964251346659,0.0767470396968762,1.16634688295506
2020-03-21,3,NA,NA,NA,NA
2020-03-22,4,0.625790139064475,0.188682826252836,0.255978595107689,0.995601683021262
2020-03-23,4,NA,NA,NA,NA
2020-03-24,26,0.466589861751152,0.155529953917051,0.161756753556558,0.771422969945746
2020-03-25,40,1.93670886075949,0.332142829453213,1.28572087730797,2.58769684421102
2020-03-26,39,0.604026845637584,0.201342281879195,0.209403224589251,0.998650466685917
2020-03-27,5,NA,NA,NA,NA
2020-03-28,4,NA,NA,NA,NA
2020-03-29,11,0.767772511848341,0.255924170616114,0.266170354667474,1.26937466902921
2020-03-30,0,NA,NA,NA,NA
2020-03-31,9,7.37373737373738,0.863030681345205,5.68222832074771,9.06524642672704
2020-04-01,34,3.07086614173228,0.602246399243242,1.8904848893966,4.25124739406797
2020-04-02,9,5.95116988809766,0.738151777565483,4.50441898894509,7.39792078725023
2020-04-03,1,NA,NA,NA,NA
2020-04-04,0,1.36363636363636,0.248964798865985,0.875674324440775,1.85159840283195
2020-04-05,9,6.24780316344464,0.497048531677455,5.27360594278831,7.22200038410097
2020-04-06,0,NA,NA,NA,NA
2020-04-07,73,1.86115214180207,0.222450228620581,1.42515770535303,2.29714657825111
2020-04-08,26,NA,NA,NA,NA
2020-04-09,65,0.0973604500216357,0.0435409169136696,0.0120218210169923,0.182699079026279
2020-04-10,0,NA,NA,NA,NA
2020-04-11,30,4.06505967704189,0.292609398326815,3.4915557947834,4.63856355930038
2020-04-12,158,5.40884137532505,0.375035671530493,4.67378496620749,6.14389778444261
2020-04-13,0,NA,NA,NA,NA
2020-04-14,70,NA,NA,NA,NA
2020-04-15,0,1.63795905102372,0.154772582382719,1.33461036375934,1.94130773828811
2020-04-16,5,NA,NA,NA,NA
2020-04-17,0,1.64714494875549,0.147325122968507,1.35839301371928,1.9358968837917
2020-04-18,193,NA,NA,NA,NA
2020-04-19,208,3.72195940790478,0.226092932547519,3.2788254029526,4.16509341285696
2020-04-20,0,NA,NA,NA,NA
2020-04-21,0,1.6164464895354,0.146949680866855,1.32843040749671,1.90446257157409
2020-04-22,112,NA,NA,NA,NA
2020-04-23,0,4.80206540447504,0.239207916190868,4.33322650392407,5.27090430502602
2020-04-24,125,NA,NA,NA,NA
2020-04-25,0,0.913852073535699,0.0937592444455757,0.730087331204683,1.09761681586671
2020-04-26,271,NA,NA,NA,NA
2020-04-27,0,4.43986007713696,0.189316269792855,4.0688070066555,4.81091314761843
2020-04-28,121,NA,NA,NA,NA
2020-04-29,0,2.76192047516911,0.143198905871864,2.48125577703472,3.04258517330351
2020-04-30,403,NA,NA,NA,NA
2020-05-01,0,5.33913043478261,0.175930329339055,4.99431332548979,5.68394754407543
2020-05-02,95,1.4547913446677,0.0918256154429377,1.27481644554131,1.63476624379408
2020-05-03,0,NA,NA,NA,NA
2020-05-04,550,1.69416325651518,0.0810428191442179,1.53532224978692,1.85300426324344
2020-05-05,0,1.41599115696389,0.0685246149144976,1.281685379677,1.55029693425078
2020-05-06,372,0.918667586908351,0.0548031136358611,0.811255457941408,1.02607971587529
2020-05-07,0,0.377540143726576,0.0341808785732852,0.310546852763,0.444533434690152
2020-05-08,921,0.331978551180027,0.0319446509814951,0.269368185757594,0.394588916602459
2020-05-09,251,0.303156578810293,0.0307808869730059,0.242827148931003,0.363486008689582
2020-05-10,0,NA,NA,NA,NA
2020-05-11,437,NA,NA,NA,NA
2020-05-12,427,1.76145296828409,0.0927080509623204,1.57974852732104,1.94315740924714
2020-05-13,281,1.05616605616606,0.0802988183026002,0.898783264291834,1.21354884804028
2020-05-14,122,NA,NA,NA,NA
2020-05-15,108,1.72969621822691,0.117419430310784,1.49955836373256,1.95983407272125
2020-05-16,97,1.08603537214444,0.0948873510319974,0.900059581533312,1.27201116275556
2020-05-17,0,0.540885084684028,0.0665783515222397,0.410393913550391,0.671376255817666
2020-05-18,0,0.958180734179371,0.0857022902542292,0.790207331888484,1.12615413647026
2020-05-19,361,2.29588045901098,0.130608076018511,2.03989333392463,2.55186758409733
2020-05-20,173,1.41504649196957,0.103756242834212,1.21168799284332,1.61840499109582
2020-05-21,0,NA,NA,NA,NA
2020-05-22,217,2.07513812154696,0.117293741522348,1.84524661255121,2.30502963054271
2020-05-23,131,1.02059086839749,0.0827808505322602,0.85834338274467,1.18283835405032
2020-05-24,66,1.9224784269345,0.110626202272489,1.70565505473398,2.13930179913502
2020-05-25,125,NA,NA,NA,NA
