"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,1,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,4,NA,NA,NA,NA
2020-02-27,2,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,6,NA,NA,NA,NA
2020-03-01,6,NA,NA,NA,NA
2020-03-02,7,NA,NA,NA,NA
2020-03-03,6,2.06680584551148,0.623165409461349,0.845424086556083,3.28818760446688
2020-03-04,3,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,5,5.33596837944664,0.97421008251907,3.42655170433347,7.24538505455981
2020-03-07,14,1.69811320754717,0.566037735849057,0.588699631392423,2.80752678370192
2020-03-08,6,0.994475138121547,0.405992775046936,0.198743921046081,1.79020635519701
2020-03-09,0,1.08597285067873,0.383949383449709,0.333445887230944,1.83849981412652
2020-03-10,11,3.46153846153846,0.631987566352115,2.2228655928112,4.70021133026572
2020-03-11,0,1.12219451371571,0.354869064108671,0.42666392883528,1.81772509859614
2020-03-12,0,2.59526261585994,0.490458533462025,1.63398155436404,3.55654367735584
2020-03-13,30,1.32352941176471,0.330882352941176,0.675011916880129,1.97204690664928
2020-03-14,9,0.422535211267606,0.172499277660787,0.0844428396932881,0.760627582841923
2020-03-15,6,1.21019108280255,0.277636875384756,0.666032806268191,1.75434935933691
2020-03-16,8,1.97473404255319,0.343757073263579,1.30098255952568,2.6484855255807
2020-03-17,30,3.08219178082192,0.435887741827324,2.22786750553787,3.93651605610597
2020-03-18,10,1.72966047405509,0.315791352821684,1.11072079589541,2.34860015221478
2020-03-19,28,1.77534246575342,0.295890410958904,1.19540791690322,2.35527701460363
2020-03-20,16,3.23557237464522,0.371145605410275,2.50814035502077,3.96300439426968
2020-03-21,6,1.78217821782178,0.257235268450823,1.27800635610468,2.28635007953889
2020-03-22,19,1.27373144632378,0.1989234316082,0.883848684690594,1.66361420795697
2020-03-23,33,2.20289000294898,0.241798591012382,1.72897347305218,2.67680653284578
2020-03-24,50,1.49843912591051,0.187304890738814,1.13132828593423,1.86554996588679
2020-03-25,30,0.713286713286713,0.122327662129622,0.473528901199671,0.953044525373756
2020-03-26,36,0.837917900973339,0.126320876484124,0.590333532568923,1.08550226937776
2020-03-27,76,0.871670702179177,0.125814828636964,0.625078169329648,1.11826323502871
2020-03-28,48,1.05539830165791,0.138580586236909,0.783785343677117,1.32701125963869
2020-03-29,41,1.52979725578538,0.167917063715541,1.2006858585132,1.85890865305756
2020-03-30,83,1.31771595900439,0.157497181317856,1.00902715595482,1.62640476205396
2020-03-31,64,1.7098121085595,0.179237010704645,1.35851402288177,2.06111019423722
2020-04-01,34,1.42999006951341,0.159877750129081,1.11663543733111,1.7433447016957
2020-04-02,44,0.494777350192413,0.090333571881006,0.317726802710782,0.671827897674045
2020-04-03,48,0.723943179873353,0.105597965777185,0.516974970109376,0.930911389637329
2020-04-04,58,0.575032765399738,0.0920789351008938,0.394561368867185,0.755504161932291
2020-04-05,83,0.502628120893561,0.0862000115860836,0.333679202717902,0.67157703906922
2020-04-06,70,0.406320541760722,0.079686014277366,0.250138823705541,0.562502259815904
2020-04-07,91,0.372951591636843,0.0795135465029401,0.21710790420803,0.528795279065656
2020-04-08,80,0.289823958780593,0.074832224379276,0.143155494114191,0.436492423446994
2020-04-09,30,0.426859710434348,0.0979283337290715,0.234923703259349,0.618795717609348
2020-04-10,47,1.28304128304128,0.185191057536322,0.920073480011207,1.64600908607136
2020-04-11,39,1.00143575017947,0.179863170371393,0.648910414106346,1.35396108625259
2020-04-12,34,0.933758978451716,0.183125202004529,0.574840177861216,1.29267777904222
2020-04-13,26,1.27633711507293,0.215740348654362,0.85349380169827,1.6991804284476
2020-04-14,22,1.01245480112495,0.191335972676427,0.637443185732214,1.38746641651769
2020-04-15,15,1.0271546635183,0.190737832602167,0.653315381128824,1.40099394590778
2020-04-16,19,1.56937073540561,0.231391091160453,1.1158525303877,2.02288894042352
2020-04-17,48,1.03028064992614,0.185043867302327,0.667601334453575,1.39295996539872
2020-04-18,31,1.75656493967353,0.236855168147129,1.29233734055298,2.22079253879408
2020-04-19,26,1.75025588536336,0.231827055330729,1.29588320627315,2.20462856445356
2020-04-20,35,0.780346820809249,0.150177815685163,0.486003710789435,1.07468993082906
2020-04-21,28,2.19248120300752,0.243609022556391,1.71501629248799,2.66994611352705
2020-04-22,29,1.88916876574307,0.218142419089279,1.46161748082764,2.3167200506585
2020-04-23,46,1.88940092165899,0.208649427146023,1.48045555905787,2.29834628426011
2020-04-24,31,1.41863699582754,0.172035005241349,1.08145458147434,1.75581941018074
2020-04-25,55,1.20315981365202,0.148098735348843,0.912891626212355,1.49342800109168
2020-04-26,57,1.2814349112426,0.146033061180712,0.995215370776274,1.56765445170893
2020-04-27,27,0.77054794520548,0.108971935456831,0.556966876384468,0.984129014026492
2020-04-28,81,1.2455226310648,0.135095897290192,0.980739537916901,1.5103057242127
2020-04-29,75,0.70877531340405,0.101253616200579,0.510321872346475,0.907228754461626
2020-04-30,82,0.897720075997467,0.113102098478062,0.676044036404563,1.11939611559037
2020-05-01,68,0.865800865800866,0.111774411145957,0.646727045561617,1.08487468604011
2020-05-02,66,1.12020962987226,0.128496857163007,0.868360417706175,1.37205884203834
2020-05-03,77,1.3510747185261,0.14402504891986,1.06879080977156,1.63335862728064
2020-05-04,50,0.787577213452299,0.110282868663153,0.571426762760758,1.00372766414384
2020-05-05,85,1.44670050761421,0.148428340276279,1.15578630638765,1.73761470884078
2020-05-06,49,1.7838107928048,0.163521667274686,1.46331421425447,2.10430737135512
