"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,0,NA,NA,NA,NA
2020-03-14,0,NA,NA,NA,NA
2020-03-15,0,NA,NA,NA,NA
2020-03-16,0,NA,NA,NA,NA
2020-03-17,5,NA,NA,NA,NA
2020-03-18,1,NA,NA,NA,NA
2020-03-19,0,NA,NA,NA,NA
2020-03-20,0,NA,NA,NA,NA
2020-03-21,-3,NA,NA,NA,NA
2020-03-22,0,NA,NA,NA,NA
2020-03-23,0,NA,NA,NA,NA
2020-03-24,0,NA,NA,NA,NA
2020-03-25,0,NA,NA,NA,NA
2020-03-26,0,NA,NA,NA,NA
2020-03-27,0,NA,NA,NA,NA
2020-03-28,0,NA,NA,NA,NA
2020-03-29,0,NA,NA,NA,NA
2020-03-30,0,NA,NA,NA,NA
2020-03-31,0,NA,NA,NA,NA
2020-04-01,3,NA,NA,NA,NA
2020-04-02,0,NA,NA,NA,NA
2020-04-03,0,NA,NA,NA,NA
2020-04-04,1,NA,NA,NA,NA
2020-04-05,3,NA,NA,NA,NA
2020-04-06,3,NA,NA,NA,NA
2020-04-07,1,NA,NA,NA,NA
2020-04-08,0,1.43712574850299,0.50810068109213,0.441266713042148,2.43298478396384
2020-04-09,17,NA,NA,NA,NA
2020-04-10,0,2.56619144602851,0.685843512850621,1.22196286181086,3.91042003024616
2020-04-11,6,NA,NA,NA,NA
2020-04-12,11,0.953389830508475,0.42636889401479,0.11772215411131,1.78905750690564
2020-04-13,2,NA,NA,NA,NA
2020-04-14,1,1.44288577154309,0.51013715676785,0.443035317102437,2.44273622598373
2020-04-15,8,NA,NA,NA,NA
2020-04-16,0,NA,NA,NA,NA
2020-04-17,14,NA,NA,NA,NA
2020-04-18,3,2.61343012704174,0.653357531760436,1.3328728957633,3.89398735832018
2020-04-19,5,NA,NA,NA,NA
2020-04-20,10,NA,NA,NA,NA
2020-04-21,8,NA,NA,NA,NA
2020-04-22,2,1.56182212581345,0.552187508084939,0.479554497254048,2.64408975437285
2020-04-23,0,NA,NA,NA,NA
2020-04-24,0,NA,NA,NA,NA
2020-04-25,16,1.91119691119691,0.576247550447849,0.781772466139699,3.04062135625412
2020-04-26,3,NA,NA,NA,NA
2020-04-27,4,NA,NA,NA,NA
2020-04-28,9,1.6,0.565685424949238,0.491276940520258,2.70872305947974
2020-04-29,8,NA,NA,NA,NA
2020-04-30,0,NA,NA,NA,NA
2020-05-01,0,NA,NA,NA,NA
2020-05-02,11,NA,NA,NA,NA
2020-05-03,2,NA,NA,NA,NA
2020-05-04,4,0.760135135135135,0.33994276684963,0.0938595553049635,1.42641071496531
2020-05-05,8,1.01286173633441,0.382825752404844,0.262537049266462,1.76318642340235
2020-05-06,4,NA,NA,NA,NA
2020-05-07,8,NA,NA,NA,NA
2020-05-08,11,NA,NA,NA,NA
2020-05-09,10,NA,NA,NA,NA
2020-05-10,0,NA,NA,NA,NA
2020-05-11,5,NA,NA,NA,NA
2020-05-12,7,NA,NA,NA,NA
2020-05-13,1,NA,NA,NA,NA
2020-05-14,1,NA,NA,NA,NA
2020-05-15,2,NA,NA,NA,NA
2020-05-16,4,NA,NA,NA,NA
2020-05-17,4,NA,NA,NA,NA
2020-05-18,3,NA,NA,NA,NA
2020-05-19,3,NA,NA,NA,NA
2020-05-20,4,NA,NA,NA,NA
2020-05-21,5,NA,NA,NA,NA
2020-05-22,2,NA,NA,NA,NA
2020-05-23,9,NA,NA,NA,NA
2020-05-24,6,NA,NA,NA,NA
2020-05-25,10,NA,NA,NA,NA
2020-05-26,0,NA,NA,NA,NA
2020-05-27,1,NA,NA,NA,NA
2020-05-28,0,NA,NA,NA,NA
2020-05-29,3,0.933609958506224,0.417523066338135,0.115279785768752,1.7519401312437
2020-05-30,4,1.95652173913044,0.542641496307289,0.892963949851223,3.02007952840965
2020-05-31,7,1.46017699115044,0.440259927923283,0.597283388584607,2.32307059371628
2020-06-01,8,1.73314993122421,0.463203803039415,0.825287159764971,2.64101270268345
2020-06-02,8,1.26598465473146,0.381708735462898,0.517849280639852,2.01412002882306
2020-06-03,15,1.38297872340426,0.383569284623829,0.631196739965758,2.13476070684275
2020-06-04,5,1.40468227424749,0.375417129107753,0.668878222016872,2.14048632647811
2020-06-05,5,1.21369294605809,0.3366178576678,0.553934068476174,1.87345182364001
2020-06-06,13,0.974409448818898,0.293795503082663,0.398580843957051,1.55023805368074
2020-06-07,11,2.10477081384471,0.420954162768943,1.27971581567538,2.92982581201405
2020-06-08,14,0.968609865470852,0.279613583284662,0.420577312644724,1.51664241829698
2020-06-09,11,3.00500834724541,0.475133538255683,2.07376372441719,3.93625297007363
2020-06-10,13,0.79073482428115,0.238415520073471,0.32344899158176,1.25802065698054
2020-06-11,14,0.435082872928177,0.164445868781639,0.112774892709765,0.757390853146589
