"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,4,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,2,NA,NA,NA,NA
2020-03-11,2,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,1,NA,NA,NA,NA
2020-03-14,1,NA,NA,NA,NA
2020-03-15,3,NA,NA,NA,NA
2020-03-16,0,NA,NA,NA,NA
2020-03-17,0,NA,NA,NA,NA
2020-03-18,0,NA,NA,NA,NA
2020-03-19,0,NA,NA,NA,NA
2020-03-20,0,NA,NA,NA,NA
2020-03-21,0,NA,NA,NA,NA
2020-03-22,0,NA,NA,NA,NA
2020-03-23,0,NA,NA,NA,NA
2020-03-24,0,NA,NA,NA,NA
2020-03-25,0,NA,NA,NA,NA
2020-03-26,0,NA,NA,NA,NA
2020-03-27,3,NA,NA,NA,NA
2020-03-28,0,NA,NA,NA,NA
2020-03-29,1,NA,NA,NA,NA
2020-03-30,0,NA,NA,NA,NA
2020-03-31,1,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA
2020-04-02,0,NA,NA,NA,NA
2020-04-03,0,NA,NA,NA,NA
2020-04-04,0,NA,NA,NA,NA
2020-04-05,0,NA,NA,NA,NA
2020-04-06,0,NA,NA,NA,NA
2020-04-07,0,NA,NA,NA,NA
2020-04-08,0,NA,NA,NA,NA
2020-04-09,0,NA,NA,NA,NA
2020-04-10,0,NA,NA,NA,NA
2020-04-11,0,NA,NA,NA,NA
2020-04-12,1,NA,NA,NA,NA
2020-04-13,0,NA,NA,NA,NA
2020-04-14,0,NA,NA,NA,NA
2020-04-15,2,NA,NA,NA,NA
2020-04-16,3,2.83261802575107,0.603916192251944,1.6489640392567,4.01627201224545
2020-04-17,3,2.23668639053254,0.488084985261569,1.28005739802511,3.19331538303998
2020-04-18,7,4.34170854271357,0.626671648969644,3.11345468060074,5.5699624048264
2020-04-19,17,2.94951284322409,0.484896924470186,1.99913233504829,3.8998933513999
2020-04-20,17,0.748440748440748,0.216056233792376,0.324978311572327,1.17190318530917
2020-04-21,14,1.20066703724291,0.245085132685365,0.720309004033377,1.68102507045245
2020-04-22,3,1.19431279620853,0.225703903313567,0.751941274543829,1.63668431787323
2020-04-23,22,7.57978723404255,0.549895561918493,6.50201173742389,8.65756273066121
2020-04-24,21,0.88272921108742,0.184061764220957,0.521974782283441,1.2434836398914
2020-04-25,48,0.779944289693593,0.147395616215298,0.491054190432522,1.06883438895466
2020-04-26,37,0.17808558001484,0.0629627606300166,0.0546808368127915,0.301490323216889
2020-04-27,12,0.260977630488815,0.0697492056358025,0.124271699492364,0.397683561485266
2020-04-28,24,0.61315733446881,0.108391927284291,0.400713060776715,0.825601608160904
2020-04-29,28,0.88,0.132664991614216,0.619981394426828,1.14001860557317
2020-04-30,190,0.715935334872979,0.128585782051502,0.463911833128119,0.967958836617839
2020-05-01,23,2.45733788395904,0.250800997554592,1.96577696146533,2.94889880645276
2020-05-02,28,1.30517023959647,0.192436853241259,0.928000937945381,1.68233954124756
2020-05-03,8,1.26720901126408,0.188904366059119,0.896963257265837,1.63745476526232
2020-05-04,14,1.70537897310513,0.216583346167807,1.28088341496506,2.12987453124521
2020-05-05,32,0.161870503597122,0.0611812995878246,0.041957359877631,0.281783647316614
2020-05-06,44,1.07268053283477,0.150205318665309,0.778283517964407,1.36707754770514
2020-05-07,31,0.544598834603317,0.104808094586194,0.33917874392611,0.750018925280524
2020-05-08,96,0.999773294037633,0.14282475629109,0.719841915606385,1.27970467246888
2020-05-09,46,1.03448275862069,0.150894818790925,0.738734348336778,1.3302311689046
2020-05-10,45,0.365667851701371,0.0914169629253428,0.186493896791666,0.544841806611077
2020-05-11,62,0.290869916509561,0.0839669122979795,0.126297792512488,0.455442040506634
2020-05-12,7,0.950071326676177,0.156190763973421,0.643943054570476,1.25619959878188
2020-05-13,51,1.19186941792424,0.1817583822566,0.835629534813038,1.54810930103544
2020-05-14,27,0.901201602136182,0.164536148783261,0.578716676366066,1.2236865279063
2020-05-15,49,1.82008368200837,0.238988695790708,1.35167444554638,2.28849291847036
2020-05-16,47,1.22086956521739,0.19549558951508,0.837705250631408,1.60403387980337
2020-05-17,16,1.76351351351351,0.231560668759376,1.30966294250913,2.2173640845179
2020-05-18,12,0.687460216422661,0.140327229058234,0.412423901418219,0.962496531427102
2020-05-19,37,1.12696563774024,0.171860648569359,0.790124956184605,1.46380631929588
2020-05-20,43,0.478455512031337,0.109765222417085,0.263319629338823,0.693591394723852
2020-05-21,30,1.33157199471598,0.177938792501799,0.982818369959912,1.68032561947206
2020-05-22,58,1.91020408163265,0.216288021216192,1.48628734976148,2.33412081350382
2020-05-23,39,2.00054884742042,0.222283205268935,1.56488177072518,2.43621592411565
2020-05-24,58,2.44026845637584,0.242815786819028,1.96435825933279,2.91617865341889
2020-05-25,24,1.2077641984184,0.161394279803333,0.891437222693091,1.52409117414372
2020-05-26,43,0.224672352818806,0.0648573216897021,0.0975543381732614,0.35179036746435
