"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,1,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,0,NA,NA,NA,NA
2020-03-14,0,NA,NA,NA,NA
2020-03-15,0,NA,NA,NA,NA
2020-03-16,0,NA,NA,NA,NA
2020-03-17,0,NA,NA,NA,NA
2020-03-18,0,NA,NA,NA,NA
2020-03-19,0,NA,NA,NA,NA
2020-03-20,0,NA,NA,NA,NA
2020-03-21,0,NA,NA,NA,NA
2020-03-22,0,NA,NA,NA,NA
2020-03-23,1,NA,NA,NA,NA
2020-03-24,0,NA,NA,NA,NA
2020-03-25,1,NA,NA,NA,NA
2020-03-26,0,NA,NA,NA,NA
2020-03-27,1,NA,NA,NA,NA
2020-03-28,1,NA,NA,NA,NA
2020-03-29,0,NA,NA,NA,NA
2020-03-30,0,NA,NA,NA,NA
2020-03-31,0,NA,NA,NA,NA
2020-04-01,0,NA,NA,NA,NA
2020-04-02,1,NA,NA,NA,NA
2020-04-03,0,NA,NA,NA,NA
2020-04-04,3,NA,NA,NA,NA
2020-04-05,0,NA,NA,NA,NA
2020-04-06,0,NA,NA,NA,NA
2020-04-07,0,NA,NA,NA,NA
2020-04-08,0,NA,NA,NA,NA
2020-04-09,0,NA,NA,NA,NA
2020-04-10,0,NA,NA,NA,NA
2020-04-11,0,NA,NA,NA,NA
2020-04-12,3,NA,NA,NA,NA
2020-04-13,2,NA,NA,NA,NA
2020-04-14,2,NA,NA,NA,NA
2020-04-15,0,NA,NA,NA,NA
2020-04-16,0,NA,NA,NA,NA
2020-04-17,14,NA,NA,NA,NA
2020-04-18,1,NA,NA,NA,NA
2020-04-19,0,NA,NA,NA,NA
2020-04-20,0,NA,NA,NA,NA
2020-04-21,12,NA,NA,NA,NA
2020-04-22,2,NA,NA,NA,NA
2020-04-23,3,NA,NA,NA,NA
2020-04-24,1,NA,NA,NA,NA
2020-04-25,0,NA,NA,NA,NA
2020-04-26,3,NA,NA,NA,NA
2020-04-27,0,NA,NA,NA,NA
2020-04-28,2,NA,NA,NA,NA
2020-04-29,3,NA,NA,NA,NA
2020-04-30,0,NA,NA,NA,NA
2020-05-01,2,NA,NA,NA,NA
2020-05-02,0,1.30434782608696,0.461156596426009,0.400497505858906,2.20819814631501
2020-05-03,16,NA,NA,NA,NA
2020-05-04,0,3.66101694915254,0.747301955425376,2.19633203094245,5.12570186736264
2020-05-05,7,13.3392857142857,1.46417682521962,10.4695518698571,16.2090195587144
2020-05-06,17,4.95,0.861684396980704,3.26112961587771,6.63887038412229
2020-05-07,2,NA,NA,NA,NA
2020-05-08,1,0.995085995085995,0.23454401832969,0.5353881663705,1.45478382380149
2020-05-09,8,1.02955195424214,0.210156412631541,0.617652954364178,1.44145095412009
2020-05-10,0,NA,NA,NA,NA
2020-05-11,24,3.04568527918782,0.340517966116719,2.37828232951022,3.71308822886542
2020-05-12,83,1.08192341941229,0.208216259146748,0.673827050489003,1.49001978833557
2020-05-13,33,0.960717335610589,0.192143467122118,0.584123060186582,1.3373116110346
2020-05-14,-1,1.08870967741935,0.198770282965584,0.699127081609974,1.47829227322874
2020-05-15,18,1.98950917946797,0.259012033461287,1.48185492232136,2.49716343661457
2020-05-16,24,2.34662576687117,0.284570173547231,1.78887847564428,2.90437305809805
2020-05-17,4,0.580842391304348,0.133254383464219,0.319668598932389,0.842016183676307
2020-05-18,80,2.11985688729875,0.238502533559452,1.65240051130067,2.58731326329683
2020-05-19,27,2.23448275862069,0.235535163653921,1.77284232076626,2.69612319647512
2020-05-20,25,2.5811320754717,0.24174516797052,2.10732025281289,3.0549438981305
2020-05-21,30,3.17862802807335,0.254493918884245,2.67982911277577,3.67742694337093
2020-05-22,59,2.95995356935578,0.227018075630969,2.51500631727949,3.40490082143206
2020-05-23,68,2.68211920529801,0.195095464780523,2.29973912078109,3.06449928981494
2020-05-24,19,1.93853130117143,0.148243193696433,1.64797998057323,2.22908262176964
2020-05-25,79,2.20638014155298,0.142718867067046,1.92665630218721,2.48610398091875
2020-05-26,90,2.26296490309062,0.133346485713545,2.00161059362709,2.52431921255416
2020-05-27,114,1.35617362620886,0.0956571121589478,1.16868913151222,1.54365812090551
2020-05-28,156,1.94500161759948,0.106425753440617,1.73641097382833,2.15359226137063
2020-05-29,170,1.44892286309937,0.0869006184878374,1.27860078062896,1.61924494556979
2020-05-30,189,1.51201497971497,0.084130763965725,1.34712171235031,1.67690824707963
2020-05-31,171,0.917620027763152,0.0628742882934938,0.794388687154316,1.04085136837199
2020-06-01,239,1.23996314334606,0.0699751684085929,1.10281433345309,1.37711195323902
2020-06-02,288,1.23089911355002,0.0683832840861123,1.09687033959667,1.36492788750337
2020-06-03,201,1.01394067109742,0.0608121202807577,0.89475110552362,1.13313023667123
2020-06-04,334,0.891724793912492,0.0563976278961545,0.781187474422538,1.00226211340245
