"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,0,NA,NA,NA,NA
2020-03-14,0,NA,NA,NA,NA
2020-03-15,0,NA,NA,NA,NA
2020-03-16,0,NA,NA,NA,NA
2020-03-17,0,NA,NA,NA,NA
2020-03-18,0,NA,NA,NA,NA
2020-03-19,0,NA,NA,NA,NA
2020-03-20,1,NA,NA,NA,NA
2020-03-21,0,NA,NA,NA,NA
2020-03-22,1,NA,NA,NA,NA
2020-03-23,1,NA,NA,NA,NA
2020-03-24,0,NA,NA,NA,NA
2020-03-25,4,NA,NA,NA,NA
2020-03-26,3,NA,NA,NA,NA
2020-03-27,0,3.65988909426987,0.780290976680423,2.13054688251466,5.18923130602508
2020-03-28,0,2.46857142857143,0.503895032801111,1.48095531229262,3.45618754485024
2020-03-29,8,2.77992277992278,0.439544385197149,1.91843161532957,3.64141394451599
2020-03-30,9,3.91798107255521,0.471669493793455,2.99352585211379,4.84243629299662
2020-03-31,0,1.14562118126273,0.229124236252546,0.696545930222493,1.59469643230297
2020-04-01,47,2.36356175625769,0.295445219532212,1.78449976657003,2.94262374594536
2020-04-02,24,2.15265564544495,0.261047841227991,1.64101127839616,2.66430001249375
2020-04-03,22,0.757439134355275,0.143142541626578,0.476884908111656,1.03799336059889
2020-04-04,24,1.26827971284233,0.174211616600704,0.92683121861645,1.60972820706821
2020-04-05,40,0.836185819070905,0.135647251899073,0.57032209074689,1.10204954739492
2020-04-06,69,NA,NA,NA,NA
2020-04-07,25,0.847691247415576,0.132387131028936,0.588217238582277,1.10716525624887
2020-04-08,64,0.30420086914534,0.0813011020786226,0.144853637167826,0.463548101122855
2020-04-09,68,NA,NA,NA,NA
2020-04-10,28,1.190036900369,0.181478925949317,0.83434474155533,1.54572905918268
2020-04-11,53,0.383931745467472,0.110831548298044,0.166705902452495,0.60115758848245
2020-04-12,38,0.345415778251599,0.115138592750533,0.11974828322993,0.571083273273268
2020-04-13,0,NA,NA,NA,NA
2020-04-14,41,0.42654028436019,0.14218009478673,0.147872419259708,0.705208149460671
2020-04-15,14,0.28735632183908,0.128509653879298,0.0354820285699479,0.539230615108213
2020-04-16,0,0.588235294117647,0.196078431372549,0.203928630482342,0.972541957752952
2020-04-17,43,0.780572419774501,0.246838672519648,0.296777511644315,1.26436732790469
2020-04-18,12,NA,NA,NA,NA
2020-04-19,9,1.31067961165049,0.378360613303881,0.569106436406392,2.05225278689458
2020-04-20,0,0.606469002695418,0.271221183254692,0.0748852516718845,1.13805275371895
2020-04-21,9,1.11111111111111,0.392837100659193,0.341164542027957,1.88105768019427
2020-04-22,5,NA,NA,NA,NA
2020-04-23,9,0.803571428571429,0.32805666197989,0.160592186202414,1.44655067094044
2020-04-24,10,1.23100303951368,0.410334346504559,0.426762498744963,2.03524358028239
2020-04-25,3,1.125,0.397747564417433,0.345429098803306,1.90457090119669
2020-04-26,12,2.03883495145631,0.544901561180671,0.970847516422547,3.10682238649007
2020-04-27,5,0.73051948051948,0.326698243465878,0.090202689513861,1.3708362715251
2020-04-28,8,1.0958904109589,0.387455770513177,0.336491055150862,1.85528976676695
2020-04-29,4,0.905172413793104,0.342123014361801,0.234623627361695,1.57572120022451
2020-04-30,6,1.36363636363636,0.411151833515132,0.557793577769096,2.16947914950363
2020-05-01,9,1.72602739726027,0.46130022576665,0.821895568697444,2.6301592258231
2020-05-02,8,2.3841059602649,0.533102299271473,1.33924465361732,3.42896726691248
2020-05-03,14,0.681818181818182,0.278351107134452,0.136260036777806,1.22737632685856
2020-05-04,5,1.11111111111111,0.335012605086404,0.454498470774819,1.7677237514474
2020-05-05,8,2.06465067778936,0.440185003528789,1.2019039243383,2.92739743124043
2020-05-06,7,0.530451866404715,0.21655606763309,0.106009773210238,0.954893959599192
2020-05-07,11,1.33580705009276,0.333951762523191,0.681273622973637,1.99034047721189
2020-05-08,14,0.711775043936731,0.23725834797891,0.246757226866595,1.17679286100687
2020-05-09,20,NA,NA,NA,NA
2020-05-10,6,1.16479723899914,0.300749353890136,0.57533933700078,1.75425514099749
2020-05-11,11,0.402504472271914,0.180005472249536,0.0497002296426998,0.755308714901128
2020-05-12,22,0.433108758421559,0.193692125096228,0.0534791691439253,0.812738347699193
2020-05-13,6,0.560165975103735,0.228686801712122,0.111948080008322,1.00838387019915
2020-05-14,16,NA,NA,NA,NA
2020-05-15,9,1.4735516372796,0.4086896911735,0.67253456172674,2.27456871283245
2020-05-16,4,0.773638968481375,0.315836786318748,0.154610242303757,1.39266769465899
2020-05-17,15,NA,NA,NA,NA
2020-05-18,5,0.855784469096672,0.349372546514241,0.171026860741715,1.54054207745163
2020-05-19,5,NA,NA,NA,NA
2020-05-20,6,NA,NA,NA,NA
2020-05-21,4,NA,NA,NA,NA
2020-05-22,13,NA,NA,NA,NA
2020-05-23,6,NA,NA,NA,NA
