"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,1,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,1,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,0,NA,NA,NA,NA
2020-03-14,0,NA,NA,NA,NA
2020-03-15,0,NA,NA,NA,NA
2020-03-16,0,NA,NA,NA,NA
2020-03-17,1,NA,NA,NA,NA
2020-03-18,5,NA,NA,NA,NA
2020-03-19,0,2.51497005988024,0.672154021576157,1.19757238552721,3.83236773423327
2020-03-20,4,0.78125,0.349385621484342,0.0964667651745459,1.46603323482545
2020-03-21,10,2.66770670826833,0.6120138922288,1.46818152146171,3.86723189507496
2020-03-22,8,2.86956521739131,0.611793359976969,1.6704722658557,4.06865816892691
2020-03-23,10,2.29591836734694,0.513382954017809,1.28970626719525,3.30213046749863
2020-03-24,4,NA,NA,NA,NA
2020-03-25,7,3.20840950639854,0.513756690910289,2.2014648953979,4.21535411739918
2020-03-26,14,0.753138075313807,0.238163171058706,0.286346837594891,1.21992931303272
2020-03-27,5,1.68345323741007,0.330152342606727,1.03636653648936,2.33053993833079
2020-03-28,19,NA,NA,NA,NA
2020-03-29,22,0.963139120095125,0.227014067681769,0.518199723454919,1.40807851673533
2020-03-30,20,0.328867235079172,0.134259486510649,0.0657234769354581,0.592010993222885
2020-03-31,4,0.861244019138756,0.215311004784689,0.439242204285634,1.28324583399188
2020-04-01,39,1.32,0.281424945589406,0.76841724229362,1.87158275770638
2020-04-02,10,0.763250883392226,0.220331551492861,0.331408977808387,1.19509278897607
2020-04-03,26,1.14349775784753,0.277338943427197,0.599923417219836,1.68707209847523
2020-04-04,4,0.87378640776699,0.242344745923644,0.398799433914139,1.34877338161984
2020-04-05,18,0.34535686876439,0.15444828701073,0.0426437887494538,0.648069948779326
2020-04-06,6,1.36260408781226,0.304687536676731,0.765427489387643,1.95978068623688
2020-04-07,16,2.099533437014,0.383320607896306,1.34823885100524,2.85082802302276
2020-04-08,22,2.3943661971831,0.410630415129951,1.58954537257166,3.19918702179453
2020-04-09,12,2.36664162283997,0.40003544739216,1.58258655341197,3.15069669226797
2020-04-10,17,2.99608355091384,0.419535612642857,2.17380885990189,3.81835824192578
2020-04-11,13,2.46782316731953,0.352546166759933,1.77684537758241,3.15880095705665
2020-04-12,5,3.50917431192661,0.380623395025853,2.76316616600257,4.25518245785064
2020-04-13,20,1.28862094951017,0.209041921728413,0.878906311663443,1.6983355873569
2020-04-14,30,NA,NA,NA,NA
2020-04-15,34,4.82723053120165,0.334708215360247,4.17121448376589,5.48324657863741
2020-04-16,35,2.35865081290949,0.226961280292937,1.91381487765023,2.80348674816875
2020-04-17,51,2.11939681883908,0.198499698963606,1.73034455792837,2.50844907974979
2020-04-18,49,1.34443681318681,0.144138755971496,1.06193004270627,1.62694358366735
2020-04-19,85,1.13560732113145,0.119043993521249,0.902285381253979,1.36892926100892
2020-04-20,38,0.721533258173619,0.0901916572717024,0.544760858215102,0.898305658132136
2020-04-21,0,2.0002279462047,0.143239298374653,1.71948408021959,2.2809718121898
2020-04-22,208,1.99457259158752,0.14246947082768,1.71533755986879,2.27380762330625
2020-04-23,108,1.97908806726312,0.138563880256302,1.70750785240265,2.2506682821236
2020-04-24,114,2.11076074103272,0.136820297186513,1.84259788619308,2.37892359587235
2020-04-25,87,1.69547182855168,0.114831841982458,1.47040555398766,1.92053810311569
2020-04-26,91,1.18256299273458,0.090698441253399,1.004797314424,1.36032867104516
2020-04-27,64,1.47918631281153,0.0946952001659166,1.29358713097752,1.66478549464554
2020-04-28,195,0.816026465723213,0.067076962289633,0.684558035443181,0.947494896003245
2020-04-29,196,0.998066424021838,0.0714730211521386,0.857981876697377,1.1381509713463
2020-04-30,204,1.88988095238095,0.0968215342060672,1.70011423240915,2.07964767235276
2020-05-01,238,1.88927561453122,0.0961615968781251,1.70080234795423,2.0777488811082
2020-05-02,218,1.14081145584726,0.0737929586336053,0.996179914612735,1.28544299708178
2020-05-03,170,1.08417933647447,0.0688454567116202,0.949244720820487,1.21911395212846
2020-05-04,244,0.972538513060951,0.06251714341368,0.850007163553813,1.09506986256809
2020-05-05,148,0.554290053151101,0.0458733711981571,0.464379897753276,0.644200208548926
2020-05-06,195,0.677966101694915,0.0499803241203041,0.580006466483481,0.77592573690635
2020-05-07,381,0.710565476190476,0.0514147133968945,0.609794489657114,0.811336462723838
2020-05-08,386,1.12744671596346,0.0664354348570223,0.997235656346442,1.25765777558048
2020-05-09,239,0.714219417115278,0.0546177239073688,0.607170645339283,0.821268188891273
2020-05-10,248,1.48274517449795,0.0806507052045487,1.32467269696928,1.64081765202663
2020-05-11,242,1.00840336134454,0.0686131580611534,0.873924042679123,1.14288268000995
2020-05-12,146,1.04414784394251,0.0694556814195874,0.908017209838426,1.18027847804658
2020-05-13,184,1.24648735447611,0.0750297217646153,1.09943180204741,1.39354290690482
2020-05-14,191,1.46717961048329,0.0796862581176714,1.31099741450989,1.62336180645669
