"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,0,NA,NA,NA,NA
2020-03-14,1,NA,NA,NA,NA
2020-03-15,0,NA,NA,NA,NA
2020-03-16,0,NA,NA,NA,NA
2020-03-17,0,NA,NA,NA,NA
2020-03-18,0,NA,NA,NA,NA
2020-03-19,0,NA,NA,NA,NA
2020-03-20,0,NA,NA,NA,NA
2020-03-21,1,NA,NA,NA,NA
2020-03-22,0,NA,NA,NA,NA
2020-03-23,0,NA,NA,NA,NA
2020-03-24,1,NA,NA,NA,NA
2020-03-25,0,NA,NA,NA,NA
2020-03-26,0,NA,NA,NA,NA
2020-03-27,0,NA,NA,NA,NA
2020-03-28,2,NA,NA,NA,NA
2020-03-29,0,NA,NA,NA,NA
2020-03-30,1,NA,NA,NA,NA
2020-03-31,1,NA,NA,NA,NA
2020-04-01,0,NA,NA,NA,NA
2020-04-02,0,NA,NA,NA,NA
2020-04-03,3,NA,NA,NA,NA
2020-04-04,0,NA,NA,NA,NA
2020-04-05,2,NA,NA,NA,NA
2020-04-06,0,NA,NA,NA,NA
2020-04-07,2,NA,NA,NA,NA
2020-04-08,0,NA,NA,NA,NA
2020-04-09,0,NA,NA,NA,NA
2020-04-10,1,NA,NA,NA,NA
2020-04-11,4,NA,NA,NA,NA
2020-04-12,0,NA,NA,NA,NA
2020-04-13,0,NA,NA,NA,NA
2020-04-14,10,2.61121856866538,0.674213735316572,1.28978392956268,3.93265320776808
2020-04-15,3,3.87728459530026,0.674948613823006,2.55440962079194,5.20015956980859
2020-04-16,0,2.1244635193133,0.452937144188958,1.23672302944252,3.01220400918409
2020-04-17,0,0.855106888361045,0.246848096090576,0.371293510371233,1.33892026635086
2020-04-18,34,2.38451086956522,0.381827323271641,1.63614306763947,3.13287867149097
2020-04-19,0,1.27358490566038,0.259969430248215,0.764054185292479,1.78311562602828
2020-04-20,26,1.81818181818182,0.294948038419568,1.24009428556873,2.39626935079491
2020-04-21,15,1.90546528803545,0.290580732243811,1.3359375182363,2.4749930578346
2020-04-22,33,2.31916817359855,0.307181328740672,1.71710383254368,2.92123251465343
2020-04-23,22,NA,NA,NA,NA
2020-04-24,12,2.14209591474245,0.261698667661997,1.62917595132282,2.65501587816208
2020-04-25,39,2.77439024390244,0.290835122383215,2.20436387859204,3.34441660921284
2020-04-26,24,1.66876178504086,0.217254279480885,1.24295122177112,2.09457234831059
2020-04-27,38,2.16989066442389,0.233985327893079,1.71128784884266,2.62849348000512
2020-04-28,43,2.15105162523901,0.215105162523901,1.72945325380353,2.57264999667449
2020-04-29,57,1.39886578449906,0.162614844367536,1.0801465461871,1.71758502281101
2020-04-30,0,1.27636363636364,0.144519723267183,0.993110183704263,1.55961708902301
2020-05-01,67,NA,NA,NA,NA
2020-05-02,91,2.44191275670814,0.181505945770744,2.0861676400176,2.79765787339868
2020-05-03,59,0.721743077621425,0.0991390361681414,0.527434137269854,0.916052017972996
2020-05-04,86,2.58613295210865,0.182411753979729,2.2286124839516,2.9436534202657
2020-05-05,100,2.0830937320299,0.164170784738421,1.76132490662892,2.40486255743089
2020-05-06,74,1.52638906467536,0.131859931812571,1.26794834731881,1.7848297820319
2020-05-07,78,1.61866818440524,0.128774326476709,1.36627514237748,1.87106122643299
2020-05-08,0,1.28182616330114,0.106084688091261,1.07390399533111,1.48974833127118
2020-05-09,181,NA,NA,NA,NA
2020-05-10,53,2.38795003673769,0.132459635395444,2.12833392195732,2.64756615151807
2020-05-11,201,2.22240392477514,0.127884975284419,1.97175397905389,2.4730538704964
2020-05-12,161,NA,NA,NA,NA
2020-05-13,134,0.897249308688692,0.0766571817759254,0.747003993251538,1.04749462412585
2020-05-14,158,2.50067769043101,0.123499668326002,2.2586227884094,2.74273259245262
2020-05-15,146,NA,NA,NA,NA
2020-05-16,0,1.39453805926787,0.090017044653281,1.2181078937527,1.57096822478303
2020-05-17,325,1.44587386256668,0.0903671164104173,1.26875756901552,1.62299015611783
2020-05-18,302,1.05417276720351,0.0760783663646652,0.905061909126127,1.2032836252809
2020-05-19,0,0.81556213375219,0.0665903693742784,0.685047408061386,0.946076859442995
2020-05-20,137,0.864357945878764,0.0662932282321042,0.734425606124946,0.994290285632582
2020-05-21,410,1.04840118818801,0.0741331589571778,0.903102866571762,1.19369950980426
2020-05-22,0,NA,NA,NA,NA
2020-05-23,240,0.90408128121233,0.068342121002185,0.770133185420969,1.03802937700369
2020-05-24,256,1.5555693222649,0.0931294993163242,1.37303885770666,1.73809978682314
2020-05-25,192,1.38151192012497,0.0918968059535123,1.20139749016182,1.56162635008812
2020-05-26,150,0.913737136542579,0.0753637688216308,0.76602686391298,1.06144740917218
2020-05-27,170,0.830023561090542,0.070913698550304,0.691035265921416,0.969011856259668
2020-05-28,200,1.11826967326277,0.0813421496047648,0.958841989612363,1.27769735691318
