"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2020-01-22,0,NA,NA,NA,NA
2020-01-23,0,NA,NA,NA,NA
2020-01-24,0,NA,NA,NA,NA
2020-01-25,0,NA,NA,NA,NA
2020-01-26,0,NA,NA,NA,NA
2020-01-27,0,NA,NA,NA,NA
2020-01-28,0,NA,NA,NA,NA
2020-01-29,0,NA,NA,NA,NA
2020-01-30,0,NA,NA,NA,NA
2020-01-31,0,NA,NA,NA,NA
2020-02-01,0,NA,NA,NA,NA
2020-02-02,0,NA,NA,NA,NA
2020-02-03,0,NA,NA,NA,NA
2020-02-04,0,NA,NA,NA,NA
2020-02-05,0,NA,NA,NA,NA
2020-02-06,0,NA,NA,NA,NA
2020-02-07,0,NA,NA,NA,NA
2020-02-08,0,NA,NA,NA,NA
2020-02-09,0,NA,NA,NA,NA
2020-02-10,0,NA,NA,NA,NA
2020-02-11,0,NA,NA,NA,NA
2020-02-12,0,NA,NA,NA,NA
2020-02-13,0,NA,NA,NA,NA
2020-02-14,0,NA,NA,NA,NA
2020-02-15,0,NA,NA,NA,NA
2020-02-16,0,NA,NA,NA,NA
2020-02-17,0,NA,NA,NA,NA
2020-02-18,0,NA,NA,NA,NA
2020-02-19,0,NA,NA,NA,NA
2020-02-20,0,NA,NA,NA,NA
2020-02-21,0,NA,NA,NA,NA
2020-02-22,0,NA,NA,NA,NA
2020-02-23,0,NA,NA,NA,NA
2020-02-24,0,NA,NA,NA,NA
2020-02-25,0,NA,NA,NA,NA
2020-02-26,0,NA,NA,NA,NA
2020-02-27,0,NA,NA,NA,NA
2020-02-28,0,NA,NA,NA,NA
2020-02-29,0,NA,NA,NA,NA
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,0,NA,NA,NA,NA
2020-03-04,0,NA,NA,NA,NA
2020-03-05,0,NA,NA,NA,NA
2020-03-06,0,NA,NA,NA,NA
2020-03-07,0,NA,NA,NA,NA
2020-03-08,0,NA,NA,NA,NA
2020-03-09,0,NA,NA,NA,NA
2020-03-10,0,NA,NA,NA,NA
2020-03-11,0,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,0,NA,NA,NA,NA
2020-03-14,2,4.59016393442623,0.867459446250685,2.88997466172583,6.29035320712663
2020-03-15,8,NA,NA,NA,NA
2020-03-16,7,0.922401171303075,0.348634872614661,0.239089377223631,1.60571296538252
2020-03-17,16,0.870165745856354,0.328891737563278,0.22554978541953,1.51478170629318
2020-03-18,3,0.79646017699115,0.301033651069296,0.206445062760733,1.38647529122157
2020-03-19,6,1.94331983805668,0.48582995951417,0.991110614798355,2.89552906131501
2020-03-20,0,NA,NA,NA,NA
2020-03-21,28,1.45748987854251,0.420741086858837,0.632852501482952,2.28212725560207
2020-03-22,0,NA,NA,NA,NA
2020-03-23,7,1.88976377952756,0.47244094488189,0.963796542736983,2.81573101631814
2020-03-24,7,NA,NA,NA,NA
2020-03-25,7,1.04499274310595,0.369460727470475,0.320863023561852,1.76912246265005
2020-03-26,16,NA,NA,NA,NA
2020-03-27,0,0.944527736131934,0.356997928029705,0.24482465463829,1.64423081762558
2020-03-28,12,NA,NA,NA,NA
2020-03-29,0,NA,NA,NA,NA
2020-03-30,16,1.06090373280943,0.433112135266181,0.212019546420476,1.90978791919838
2020-03-31,0,NA,NA,NA,NA
2020-04-01,8,NA,NA,NA,NA
2020-04-02,3,NA,NA,NA,NA
2020-04-03,7,NA,NA,NA,NA
2020-04-04,2,NA,NA,NA,NA
2020-04-05,4,NA,NA,NA,NA
2020-04-06,6,NA,NA,NA,NA
2020-04-07,0,NA,NA,NA,NA
2020-04-08,2,NA,NA,NA,NA
2020-04-09,4,NA,NA,NA,NA
2020-04-10,0,NA,NA,NA,NA
2020-04-11,4,NA,NA,NA,NA
2020-04-12,6,NA,NA,NA,NA
2020-04-13,8,NA,NA,NA,NA
2020-04-14,0,3.625,0.673145600891813,2.30565886590047,4.94434113409953
2020-04-15,8,NA,NA,NA,NA
2020-04-16,7,1.87330316742081,0.390610712306013,1.10772023932549,2.63888609551614
2020-04-17,0,0.526755852842809,0.199094998324259,0.1365368266252,0.916974879060419
2020-04-18,23,0.331613854089904,0.148302224005144,0.0409468362126296,0.622280871967179
2020-04-19,29,NA,NA,NA,NA
2020-04-20,0,NA,NA,NA,NA
2020-04-21,29,NA,NA,NA,NA
2020-04-22,3,NA,NA,NA,NA
2020-04-23,23,NA,NA,NA,NA
2020-04-24,7,NA,NA,NA,NA
2020-04-25,5,NA,NA,NA,NA
2020-04-26,2,NA,NA,NA,NA
2020-04-27,4,NA,NA,NA,NA
2020-04-28,0,NA,NA,NA,NA
2020-04-29,2,NA,NA,NA,NA
2020-04-30,2,NA,NA,NA,NA
2020-05-01,2,1.22568093385214,0.463263848240882,0.317700475960583,2.1336613917437
2020-05-02,10,2.15017064846416,0.574657277832175,1.02386308045927,3.27647821646906
2020-05-03,12,1.69544740973312,0.489433509203136,0.736175358867924,2.65471946059832
2020-05-04,0,1.06824925816024,0.377683147221301,0.328003892038748,1.80849462428173
2020-05-05,4,NA,NA,NA,NA
2020-05-06,18,NA,NA,NA,NA
2020-05-07,2,3.64556962025316,0.64445174994217,2.3824674005927,4.90867183991363
2020-05-08,7,NA,NA,NA,NA
2020-05-09,14,5.24611398963731,0.782044499902776,3.71333493552023,6.77889304375438
2020-05-10,12,4.19924337957125,0.690351359050239,2.8461795791545,5.552307179988
2020-05-11,8,6.48269410664172,0.738771557404388,5.03472846132656,7.93065975195689
2020-05-12,1,8.58703568827385,0.750252791553797,7.11656723752777,10.0575041390199
2020-05-13,0,3.27193407658749,0.3778104039777,2.53143929180667,4.01242886136831
2020-05-14,32,1.66826462128476,0.219053876486977,1.23892691269639,2.09760232987312
2020-05-15,4,1.26559310501247,0.16073048506715,0.950567143063208,1.58061906696174
2020-05-16,45,1.08334853182564,0.13335098603269,0.821985401898668,1.34471166175262
2020-05-17,37,1.63663171690695,0.155342208020437,1.33216658390796,1.94109684990593
2020-05-18,77,0.781516514188246,0.10443453707851,0.576828582772254,0.986204445604238
2020-05-19,131,0.452528837622005,0.077608055388358,0.300419844150634,0.604637831093377
2020-05-20,75,0.447892271662763,0.0768128908864281,0.297341771976959,0.598442771348567
2020-05-21,58,1.07414590481874,0.120093163046386,0.838767630458325,1.30952417917915
2020-05-22,62,0.662414131501472,0.0987468684862518,0.468873825682305,0.855954437320639
2020-05-23,66,1.41070799577316,0.149534748482757,1.1176252743097,1.70379071723662
2020-05-24,111,0.856822848609296,0.119979197044774,0.621667943507504,1.09197775371109
2020-05-25,56,2.54843517138599,0.206705387580927,2.14330005631698,2.953570286455
2020-05-26,34,2.6630229928383,0.212532372361996,2.24646719745993,3.07957878821666
2020-05-27,34,2.0416169196657,0.177030638499125,1.69464324404728,2.38859059528412
2020-05-28,80,1.8085739803513,0.155657264584103,1.50349134783443,2.11365661286816
